교통사고이력ID(사고기록 순서),발생년월일시,주야코드,요일코드,사망자수,부상자수,발생지시도코드,발생지시도코드.1,사고유형대분류코드,사고유형중분류코드,법규위반코드
1,2012-01-01 01,야간,일,1,1,서울,은평구,차대사람,차도통행중,안전운전 의무 불이행
2,2012-01-01 01,야간,일,1,6,전북,정읍시,차대차,정면충돌,중앙선 침범
3,2012-01-01 08,주간,일,1,1,충남,청양군,차량단독,공작물충돌,안전운전 의무 불이행
4,2012-01-01 10,주간,일,2,2,경남,합천군,차대차,측면충돌,과속
5,2012-01-01 03,야간,일,1,1,경북,예천군,차량단독,도로이탈,안전운전 의무 불이행
6,2012-01-01 16,주간,일,1,1,경북,상주시,차량단독,공작물충돌,안전운전 의무 불이행
7,2012-01-02 10,주간,월,2,2,경남,의령군,차량단독,도로이탈,안전운전 의무 불이행
8,2012-01-01 04,야간,일,1,1,경북,경산시,차량단독,공작물충돌,안전운전 의무 불이행
9,2012-01-01 04,야간,일,1,2,충남,서산시,차량단독,공작물충돌,안전운전 의무 불이행
10,2012-01-01 02,야간,일,1,4,서울,중구,차대차,측면충돌,신호위반
11,2012-01-03 16,주간,화,1,1,전남,영광군,차량단독,도로이탈,안전운전 의무 불이행
12,2012-01-05 10,주간,목,1,1,충북,옥천군,차대차,추돌,안전운전 의무 불이행
13,2012-01-01 05,야간,일,1,1,부산,강서구,차대차,기타,안전운전 의무 불이행
14,2012-01-02 18,야간,월,1,1,전남,해남군,차대사람,횡단중,안전운전 의무 불이행
15,2012-01-02 05,야간,월,1,2,경기,하남시,차대차,추돌,안전운전 의무 불이행
16,2012-01-01 18,야간,일,1,3,전북,익산시,차대차,추돌,안전운전 의무 불이행
17,2012-01-01 02,야간,일,1,1,서울,서초구,차대사람,횡단중,안전운전 의무 불이행
18,2012-01-08 18,야간,일,1,1,전북,장수군,차대차,정면충돌,중앙선 침범
19,2012-01-10 07,주간,화,1,1,전남,담양군,차대사람,횡단중,안전운전 의무 불이행
20,2012-01-05 14,주간,목,1,1,인천,강화군,차량단독,공작물충돌,안전운전 의무 불이행
21,2012-01-02 20,야간,월,1,1,경기,부천시,차대사람,횡단중,안전운전 의무 불이행
22,2012-01-07 08,주간,토,1,3,경남,의령군,차대차,측면충돌,신호위반
23,2012-01-01 03,야간,일,1,1,광주,서구,차대사람,횡단중,안전운전 의무 불이행
24,2012-01-05 16,주간,목,2,3,경남,고성군,차대차,측면충돌,교차로 통행방법 위반
25,2012-01-01 18,야간,일,1,1,울산,남구,차대사람,횡단중,안전운전 의무 불이행
26,2012-01-03 05,야간,화,2,2,전남,나주시,차대사람,기타,안전운전 의무 불이행
27,2012-01-11 09,주간,수,1,2,경북,영덕군,차대차,측면충돌,신호위반
28,2012-01-04 10,주간,수,1,1,전남,장성군,차대사람,기타,안전운전 의무 불이행
29,2012-01-01 13,주간,일,1,3,강원,강릉시,차량단독,공작물충돌,안전운전 의무 불이행
30,2012-01-01 18,야간,일,1,1,서울,영등포구,차대사람,횡단중,안전운전 의무 불이행
31,2012-01-10 17,주간,화,1,1,전남,강진군,차대사람,횡단중,과속
32,2012-01-18 13,주간,수,1,1,전북,임실군,차량단독,공작물충돌,안전운전 의무 불이행
33,2012-01-02 13,주간,월,1,1,경기,광명시,차량단독,전도전복,안전운전 의무 불이행
34,2012-01-03 10,주간,화,1,3,충북,음성군,차대차,측면충돌,신호위반
35,2012-01-06 12,주간,금,1,2,전북,남원시,차대차,정면충돌,중앙선 침범
36,2012-01-07 03,야간,토,1,1,대구,달성군,차량단독,전도전복,안전운전 의무 불이행
37,2012-01-08 15,주간,일,2,5,경북,영천시,차량단독,공작물충돌,안전운전 의무 불이행
38,2012-01-03 07,주간,화,1,2,서울,관악구,차대차,기타,안전거리 미확보
39,2012-01-12 12,주간,목,1,1,충남,천안시,차대차,추돌,안전운전 의무 불이행
40,2012-01-21 06,주간,토,1,1,전북,장수군,차대사람,기타,안전운전 의무 불이행
41,2012-01-10 14,주간,화,1,1,경북,예천군,차대차,정면충돌,안전운전 의무 불이행
42,2012-01-01 20,야간,일,2,12,경기,포천시,차대차,정면충돌,중앙선 침범
43,2012-04-23 02,야간,월,1,5,경북,울릉군,차량단독,기타,안전운전 의무 불이행
44,2012-01-08 09,주간,일,1,1,전남,장흥군,차량단독,도로이탈,안전운전 의무 불이행
45,2012-02-16 19,야간,목,1,1,강원,양구군,차대사람,횡단중,안전운전 의무 불이행
46,2012-01-06 09,주간,금,1,1,경기,여주시,차량단독,전도전복,안전운전 의무 불이행
47,2012-01-02 18,야간,월,1,1,인천,연수구,차대사람,횡단중,안전운전 의무 불이행
48,2012-01-01 04,야간,일,1,1,경기,화성시,차대사람,차도통행중,안전운전 의무 불이행
49,2012-01-18 08,주간,수,1,3,경북,영덕군,차량단독,도로이탈,안전운전 의무 불이행
50,2012-01-15 20,야간,일,1,3,경남,창원시(통합),차대차,추돌,안전운전 의무 불이행
51,2012-01-10 16,주간,화,1,1,인천,강화군,차대차,정면충돌,중앙선 침범
52,2012-01-15 15,주간,일,1,1,전남,완도군,차량단독,기타,안전운전 의무 불이행
53,2012-01-18 04,야간,수,1,1,경남,창원시(통합),차대차,측면충돌,안전운전 의무 불이행
54,2012-01-09 13,주간,월,1,1,전북,부안군,차대사람,횡단중,보행자 보호의무 위반
55,2012-01-06 22,야간,금,1,1,경기,가평군,차량단독,도로이탈,안전운전 의무 불이행
56,2012-01-15 18,야간,일,1,3,경북,성주군,차대차,기타,안전운전 의무 불이행
57,2012-01-03 19,야간,화,1,1,서울,도봉구,차대사람,횡단중,안전운전 의무 불이행
58,2012-01-25 06,주간,수,1,1,경남,진주시,차대사람,차도통행중,안전운전 의무 불이행
59,2012-01-02 07,주간,월,1,1,경기,고양시,차대사람,횡단중,안전운전 의무 불이행
60,2012-01-26 15,주간,목,1,1,강원,영월군,차대차,추돌,안전운전 의무 불이행
61,2012-01-05 21,야간,목,1,1,경남,진주시,차대사람,횡단중,안전운전 의무 불이행
62,2012-02-03 15,주간,금,1,2,경북,청송군,차대차,정면충돌,기타
63,2012-01-30 19,야간,월,1,1,전북,임실군,차대사람,횡단중,안전운전 의무 불이행
64,2012-01-15 17,주간,일,1,1,경북,고령군,차량단독,공작물충돌,안전운전 의무 불이행
65,2012-01-10 03,야간,화,1,5,전북,남원시,차량단독,도로이탈,안전운전 의무 불이행
