교통사고이력ID(사고기록 순서),발생년월일시,주야코드,요일코드,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도코드,발생지시도코드,사고유형대분류코드,사고유형중분류코드,사고유형코드,법규위반코드,도로형태대분류코드,도로로형태코드
1,2012-01-01 01,야간,일,1,1,0,0,0,서울,은평구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로
2,2012-01-01 01,야간,일,1,6,5,0,0,전북,정읍시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
3,2012-01-01 08,주간,일,1,1,0,0,0,충남,청양군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
4,2012-01-01 10,주간,일,2,2,0,0,0,경남,합천군,차대차,측면충돌,측면충돌,과속,교차로,교차로내
5,2012-01-01 03,야간,일,1,1,0,0,0,경북,예천군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
6,2012-01-01 16,주간,일,1,1,0,0,0,경북,상주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
7,2012-01-02 10,주간,월,2,2,0,0,0,경남,의령군,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로
8,2012-01-01 04,야간,일,1,1,0,0,0,경북,경산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
9,2012-01-01 04,야간,일,1,2,1,0,0,충남,서산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
10,2012-01-01 02,야간,일,1,4,0,3,0,서울,중구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
11,2012-01-03 16,주간,화,1,1,0,0,0,전남,영광군,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로
12,2012-01-05 10,주간,목,1,1,0,0,0,충북,옥천군,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로
13,2012-01-01 05,야간,일,1,1,0,0,0,부산,강서구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로
14,2012-01-02 18,야간,월,1,1,0,0,0,전남,해남군,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근
15,2012-01-02 05,야간,월,1,2,0,1,0,경기,하남시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
16,2012-01-01 18,야간,일,1,3,0,2,0,전북,익산시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,교차로,교차로부근
17,2012-01-01 02,야간,일,1,1,0,0,0,서울,서초구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근
18,2012-01-08 18,야간,일,1,1,0,0,0,전북,장수군,차대차,정면충돌,정면충돌,중앙선 침범,기타/불명,기타/불명
19,2012-01-10 07,주간,화,1,1,0,0,0,전남,담양군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
20,2012-01-05 14,주간,목,1,1,0,0,0,인천,강화군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
21,2012-01-02 20,야간,월,1,1,0,0,0,경기,부천시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도부근
22,2012-01-07 08,주간,토,1,3,2,0,0,경남,의령군,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
23,2012-01-01 03,야간,일,1,1,0,0,0,광주,서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,기타/불명,기타/불명
24,2012-01-05 16,주간,목,2,3,1,0,0,경남,고성군,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내
25,2012-01-01 18,야간,일,1,1,0,0,0,울산,남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내
26,2012-01-03 05,야간,화,2,2,0,0,0,전남,나주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
27,2012-01-11 09,주간,수,1,2,1,0,0,경북,영덕군,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
28,2012-01-04 10,주간,수,1,1,0,0,0,전남,장성군,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내
29,2012-01-01 13,주간,일,1,3,1,1,0,강원,강릉시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
30,2012-01-01 18,야간,일,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
31,2012-01-10 17,주간,화,1,1,0,0,0,전남,강진군,차대사람,횡단중,횡단중,과속,단일로,횡단보도상
32,2012-01-18 13,주간,수,1,1,0,0,0,전북,임실군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
33,2012-01-02 13,주간,월,1,1,0,0,0,경기,광명시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
34,2012-01-03 10,주간,화,1,3,2,0,0,충북,음성군,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내
35,2012-01-06 12,주간,금,1,2,0,1,0,전북,남원시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
36,2012-01-07 03,야간,토,1,1,0,0,0,대구,달성군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로
37,2012-01-08 15,주간,일,2,5,2,1,0,경북,영천시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로
38,2012-01-03 07,주간,화,1,2,0,1,0,서울,관악구,차대차,기타,기타,안전거리 미확보,단일로,기타단일로
39,2012-01-12 12,주간,목,1,1,0,0,0,충남,천안시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로
40,2012-01-21 06,주간,토,1,1,0,0,0,전북,장수군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로
41,2012-01-10 14,주간,화,1,1,0,0,0,경북,예천군,차대차,정면충돌,정면충돌,안전운전 의무 불이행,교차로,교차로내
42,2012-01-01 20,야간,일,2,12,9,1,0,경기,포천시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
43,2012-04-23 02,야간,월,1,5,0,3,1,경북,울릉군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로
44,2012-01-08 09,주간,일,1,1,0,0,0,전남,장흥군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
45,2012-02-16 19,야간,목,1,1,0,0,0,강원,양구군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
46,2012-01-06 09,주간,금,1,1,0,0,0,경기,여주시,차량단독,전도전복,전도전복,안전운전 의무 불이행,교차로,교차로부근
47,2012-01-02 18,야간,월,1,1,0,0,0,인천,연수구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로
48,2012-01-01 04,야간,일,1,1,0,0,0,경기,화성시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,횡단보도부근
49,2012-01-18 08,주간,수,1,3,2,0,0,경북,영덕군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로
50,2012-01-15 20,야간,일,1,3,0,2,0,경남,창원시(통합),차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로
51,2012-01-10 16,주간,화,1,1,0,0,0,인천,강화군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로
